evaluation_month,universe_month,n_universe_assets,n_eligible_assets,n_common_sample_months,condition_number
2000-01,1999-12,6646,100,114,13167.92309126705
2000-02,2000-01,6611,100,115,23275.843440479857
2000-03,2000-02,6614,100,115,22595.082725171163
2000-04,2000-03,6600,100,117,17222.308914991532
2000-05,2000-04,6613,100,118,9437.833205535075
2000-06,2000-05,6603,100,119,9592.352609522884
2000-07,2000-06,6575,100,120,12631.520437231831
2000-08,2000-07,6572,100,114,17489.943814524988
2000-09,2000-08,6585,100,115,14940.949682352293
2000-10,2000-09,6554,100,115,18432.69061396571
2000-12,2000-11,6426,100,118,9089.226362252968
2001-01,2000-12,6358,100,114,13038.739676511514
2001-02,2001-01,6277,100,115,12566.649794883871
2001-03,2001-02,6231,100,116,11033.989902503567
2001-04,2001-03,6182,100,117,11070.788105991665
2001-05,2001-04,6096,100,118,10814.806426860641
2001-06,2001-05,6024,100,119,6407.116122984779
2001-07,2001-06,5967,100,114,19668.260820758507
2001-08,2001-07,5909,100,115,18895.94852480849
2001-09,2001-08,5822,100,116,29962.202893481797
2001-10,2001-09,5781,100,114,17017.428591241875
2001-11,2001-10,5743,100,114,14735.569560309306
2001-12,2001-11,5682,100,114,14256.508300470361
2002-01,2001-12,5648,100,115,13097.013260913009
2002-02,2002-01,5598,100,116,11208.875374572297
2002-03,2002-02,5562,100,117,6812.020992350664
2002-04,2002-03,5529,100,118,7626.820716419577
2002-05,2002-04,5482,100,119,6855.838918283825
2002-06,2002-05,5456,100,120,7258.535073460896
2002-07,2002-06,5435,100,120,5534.089403916568
2002-08,2002-07,5405,100,120,12868.210190868493
2002-09,2002-08,5345,100,120,10879.408712778833
2002-10,2002-09,5317,100,120,11593.085587404787
2002-11,2002-10,5274,100,120,9188.835852243265
2002-12,2002-11,5250,100,120,5524.018367112156
2003-01,2002-12,5218,100,114,15084.126989389568
2003-02,2003-01,5180,100,115,18778.437151937756
2003-03,2003-02,5151,100,116,18105.26595939743
2003-04,2003-03,5085,100,117,11834.556584476764
2003-05,2003-04,5053,100,118,19397.659281641805
2003-06,2003-05,5024,100,119,14154.32751330649
2003-07,2003-06,5002,100,120,13929.666413698802
2003-08,2003-07,4965,100,120,20301.35093192534
2003-09,2003-08,4937,100,120,15143.536965362473
2003-10,2003-09,4921,100,120,13588.054843474809
2003-11,2003-10,4910,100,120,11393.937307396165
2003-12,2003-11,4896,100,120,21222.46462012098
2004-01,2003-12,4890,100,115,26848.044549558752
2004-02,2004-01,4874,100,116,17889.206059692035
2004-03,2004-02,4876,100,117,15281.003830206771
2004-04,2004-03,4871,100,118,12156.613578750163
2004-05,2004-04,4853,100,119,16099.266567865947
