evaluation_month,n_common_sample_months,model,permno,weight
2021-12,114,Equal Weight,14593,0.01
2021-12,114,Equal Weight,10107,0.01
2021-12,114,Equal Weight,84788,0.01
2021-12,114,Equal Weight,93436,0.01
2021-12,114,Equal Weight,90319,0.01
2021-12,114,Equal Weight,86580,0.01
2021-12,114,Equal Weight,13407,0.01
2021-12,114,Equal Weight,47896,0.01
2021-12,114,Equal Weight,92655,0.01
2021-12,114,Equal Weight,66181,0.01
2021-12,114,Equal Weight,22111,0.01
2021-12,114,Equal Weight,55976,0.01
2021-12,114,Equal Weight,59408,0.01
2021-12,114,Equal Weight,83443,0.01
2021-12,114,Equal Weight,18163,0.01
2021-12,114,Equal Weight,92611,0.01
2021-12,114,Equal Weight,75510,0.01
2021-12,114,Equal Weight,91233,0.01
2021-12,114,Equal Weight,21936,0.01
2021-12,114,Equal Weight,89393,0.01
2021-12,114,Equal Weight,90215,0.01
2021-12,114,Equal Weight,26403,0.01
2021-12,114,Equal Weight,17778,0.01
2021-12,114,Equal Weight,11850,0.01
2021-12,114,Equal Weight,62092,0.01
2021-12,114,Equal Weight,10104,0.01
2021-12,114,Equal Weight,87055,0.01
2021-12,114,Equal Weight,50876,0.01
2021-12,114,Equal Weight,76076,0.01
2021-12,114,Equal Weight,49680,0.01
2021-12,114,Equal Weight,89525,0.01
2021-12,114,Equal Weight,11308,0.01
2021-12,114,Equal Weight,20482,0.01
2021-12,114,Equal Weight,13856,0.01
2021-12,114,Equal Weight,14541,0.01
2021-12,114,Equal Weight,57665,0.01
2021-12,114,Equal Weight,65875,0.01
2021-12,114,Equal Weight,77178,0.01
2021-12,114,Equal Weight,59328,0.01
2021-12,114,Equal Weight,61241,0.01
2021-12,114,Equal Weight,38703,0.01
2021-12,114,Equal Weight,22752,0.01
2021-12,114,Equal Weight,78975,0.01
2021-12,114,Equal Weight,43449,0.01
2021-12,114,Equal Weight,15579,0.01
2021-12,114,Equal Weight,24205,0.01
2021-12,114,Equal Weight,69032,0.01
2021-12,114,Equal Weight,61399,0.01
2021-12,114,Equal Weight,66093,0.01
2021-12,114,Equal Weight,48725,0.01
2021-12,114,Equal Weight,87447,0.01
2021-12,114,Equal Weight,75186,0.01
2021-12,114,Equal Weight,10145,0.01
2021-12,114,Equal Weight,87267,0.01
2021-12,114,Equal Weight,91937,0.01
2021-12,114,Equal Weight,92602,0.01
2021-12,114,Equal Weight,14702,0.01
2021-12,114,Equal Weight,77702,0.01
2021-12,114,Equal Weight,86868,0.01
2021-12,114,Equal Weight,70519,0.01
2021-12,114,Equal Weight,17830,0.01
2021-12,114,Equal Weight,19393,0.01
2021-12,114,Equal Weight,59176,0.01
2021-12,114,Equal Weight,17005,0.01
2021-12,114,Equal Weight,49154,0.01
2021-12,114,Equal Weight,19561,0.01
2021-12,114,Equal Weight,12308,0.01
2021-12,114,Equal Weight,88352,0.01
2021-12,114,Equal Weight,14008,0.01
2021-12,114,Equal Weight,17478,0.01
2021-12,114,Equal Weight,19350,0.01
2021-12,114,Equal Weight,12490,0.01
2021-12,114,Equal Weight,18542,0.01
2021-12,114,Equal Weight,12060,0.01
2021-12,114,Equal Weight,89179,0.01
2021-12,114,Equal Weight,22592,0.01
2021-12,114,Equal Weight,44644,0.01
2021-12,114,Equal Weight,48486,0.01
2021-12,114,Equal Weight,60871,0.01
2021-12,114,Equal Weight,53613,0.01
2021-12,114,Equal Weight,13928,0.01
2021-12,114,Equal Weight,21178,0.01
2021-12,114,Equal Weight,73139,0.01
2021-12,114,Equal Weight,36468,0.01
2021-12,114,Equal Weight,77274,0.01
2021-12,114,Equal Weight,86783,0.01
2021-12,114,Equal Weight,12369,0.01
2021-12,114,Equal Weight,40539,0.01
2021-12,114,Equal Weight,60442,0.01
2021-12,114,Equal Weight,45751,0.01
2021-12,114,Equal Weight,89006,0.01
2021-12,114,Equal Weight,66157,0.01
2021-12,114,Equal Weight,89626,0.01
2021-12,114,Equal Weight,71563,0.01
2021-12,114,Equal Weight,13901,0.01
2021-12,114,Equal Weight,82642,0.01
2021-12,114,Equal Weight,62148,0.01
2021-12,114,Equal Weight,25785,0.01
2021-12,114,Equal Weight,27959,0.01
2021-12,114,Equal Weight,90993,0.01
2021-12,114,HRP,27959,0.033605970724106565
2021-12,114,HRP,24205,0.032552742517670444
2021-12,114,HRP,50876,0.025697171859758006
2021-12,114,HRP,65875,0.024072313739058555
2021-12,114,HRP,22111,0.023092168683941577
2021-12,114,HRP,55976,0.022581264849650264
2021-12,114,HRP,89626,0.021982345349860752
2021-12,114,HRP,59328,0.018824533687326797
2021-12,114,HRP,44644,0.01855494074499261
2021-12,114,HRP,77274,0.01739718630965093
2021-12,114,HRP,45751,0.01714524148356826
2021-12,114,HRP,66093,0.016686646062305275
2021-12,114,HRP,49680,0.01638811288005262
2021-12,114,HRP,18163,0.016341301770799795
2021-12,114,HRP,22752,0.015982799404380917
2021-12,114,HRP,10107,0.01594938899693406
2021-12,114,HRP,19393,0.01584815379233026
2021-12,114,HRP,91937,0.01566015108886352
2021-12,114,HRP,87055,0.015059910017934426
2021-12,114,HRP,21936,0.014903424348292855
2021-12,114,HRP,43449,0.014635937861474402
2021-12,114,HRP,57665,0.014310927369178926
2021-12,114,HRP,89006,0.014150095967387
2021-12,114,HRP,13856,0.01412260804729415
2021-12,114,HRP,14008,0.013808960418543797
2021-12,114,HRP,10145,0.013486082608972461
2021-12,114,HRP,12490,0.013275217128854898
2021-12,114,HRP,90993,0.01261158290424893
2021-12,114,HRP,77702,0.012294998777878744
2021-12,114,HRP,21178,0.012270245724929718
2021-12,114,HRP,13901,0.012180582269648528
2021-12,114,HRP,92602,0.0118647269303167
2021-12,114,HRP,78975,0.011593743747972096
2021-12,114,HRP,89525,0.011539773496543473
2021-12,114,HRP,89179,0.011419094131904733
2021-12,114,HRP,11308,0.011281565050654582
2021-12,114,HRP,15579,0.011095738104171613
2021-12,114,HRP,92655,0.010997191703979193
2021-12,114,HRP,73139,0.010873465270696478
2021-12,114,HRP,36468,0.010760043369645152
2021-12,114,HRP,82642,0.010646523810736884
2021-12,114,HRP,40539,0.010294732208036825
2021-12,114,HRP,49154,0.010033526905177776
2021-12,114,HRP,10104,0.009711139057698971
2021-12,114,HRP,87267,0.008977634480668805
2021-12,114,HRP,13407,0.008958015864203611
2021-12,114,HRP,83443,0.008930463753512004
2021-12,114,HRP,17778,0.008826077383575544
2021-12,114,HRP,76076,0.008811808760979936
2021-12,114,HRP,66181,0.008695336619922004
2021-12,114,HRP,87447,0.008503382930154058
2021-12,114,HRP,22592,0.008493736460130352
2021-12,114,HRP,17005,0.008352383469860772
2021-12,114,HRP,88352,0.008285727567254585
2021-12,114,HRP,20482,0.008232753664343834
2021-12,114,HRP,62092,0.008033977154118339
2021-12,114,HRP,26403,0.007939646979521035
2021-12,114,HRP,75510,0.00780166966237036
2021-12,114,HRP,90319,0.00774433184098905
2021-12,114,HRP,90215,0.007489484445868822
2021-12,114,HRP,19350,0.007251342997847411
2021-12,114,HRP,14593,0.007201719258740871
2021-12,114,HRP,12369,0.006795184337090936
2021-12,114,HRP,11850,0.006626534958624666
2021-12,114,HRP,92611,0.006552952826523238
2021-12,114,HRP,38703,0.006527726908611562
2021-12,114,HRP,17478,0.00648658564548709
2021-12,114,HRP,48725,0.00602241652884948
2021-12,114,HRP,18542,0.005815776185891467
2021-12,114,HRP,66157,0.005450474557292118
2021-12,114,HRP,77178,0.005266055813236303
2021-12,114,HRP,91233,0.005237873770351312
2021-12,114,HRP,12308,0.00519280103402647
2021-12,114,HRP,25785,0.005089858338583238
2021-12,114,HRP,61399,0.0050101835127326876
2021-12,114,HRP,59408,0.004989395326022212
2021-12,114,HRP,60871,0.004979494694204762
2021-12,114,HRP,12060,0.004929645703175411
2021-12,114,HRP,84788,0.004832601846016229
2021-12,114,HRP,19561,0.004753786052016209
2021-12,114,HRP,86783,0.00455527209509124
2021-12,114,HRP,62148,0.004415094076120803
2021-12,114,HRP,59176,0.0043298658071765405
2021-12,114,HRP,14541,0.0042931448493168664
2021-12,114,HRP,86580,0.003808053777416735
2021-12,114,HRP,17830,0.00380730072869121
2021-12,114,HRP,71563,0.0037935768313013592
2021-12,114,HRP,47896,0.0035828727787731805
2021-12,114,HRP,60442,0.0034592731528374143
2021-12,114,HRP,89393,0.0031828139669378497
2021-12,114,HRP,86868,0.0030885115023710293
2021-12,114,HRP,75186,0.0027915226568548637
2021-12,114,HRP,61241,0.0027574345042794195
2021-12,114,HRP,48486,0.0025182079885836934
2021-12,114,HRP,14702,0.002270868007145768
2021-12,114,HRP,53613,0.002265769642094273
2021-12,114,HRP,69032,0.002241649996776311
2021-12,114,HRP,93436,0.0021340407477581677
2021-12,114,HRP,13928,0.0021279085557873987
2021-12,114,HRP,70519,0.0019037058244645653
2021-12,114,Minimum Variance Classical,66157,0.4990075622261334
2021-12,114,Minimum Variance Classical,13856,0.38575880746327634
2021-12,114,Minimum Variance Classical,92611,0.37756263253155753
2021-12,114,Minimum Variance Classical,19350,0.3277439815187507
2021-12,114,Minimum Variance Classical,47896,0.3161137087959076
2021-12,114,Minimum Variance Classical,14541,0.2976010034673087
2021-12,114,Minimum Variance Classical,40539,0.2952969677942367
2021-12,114,Minimum Variance Classical,89626,0.28038491573189256
2021-12,114,Minimum Variance Classical,83443,0.2647491645874244
2021-12,114,Minimum Variance Classical,17830,0.24106139415125166
2021-12,114,Minimum Variance Classical,77274,0.23055563059315462
2021-12,114,Minimum Variance Classical,24205,0.18088373737072497
2021-12,114,Minimum Variance Classical,45751,0.17301850712793626
2021-12,114,Minimum Variance Classical,69032,0.16876571413285993
2021-12,114,Minimum Variance Classical,10104,0.168451830479872
2021-12,114,Minimum Variance Classical,49680,0.1679829842114813
2021-12,114,Minimum Variance Classical,43449,0.16243446600158365
2021-12,114,Minimum Variance Classical,89006,0.15841863777950324
2021-12,114,Minimum Variance Classical,55976,0.15365681940805115
2021-12,114,Minimum Variance Classical,86580,0.14774496357979355
2021-12,114,Minimum Variance Classical,65875,0.13549696514514822
2021-12,114,Minimum Variance Classical,50876,0.13355672597407878
2021-12,114,Minimum Variance Classical,60871,0.13217796517411468
2021-12,114,Minimum Variance Classical,89179,0.12805193110473906
2021-12,114,Minimum Variance Classical,48486,0.09807282279379702
2021-12,114,Minimum Variance Classical,76076,0.09723565893448148
2021-12,114,Minimum Variance Classical,90319,0.0971668904408876
2021-12,114,Minimum Variance Classical,87447,0.09106932953747755
2021-12,114,Minimum Variance Classical,59408,0.08088837851131678
2021-12,114,Minimum Variance Classical,14593,0.07528690399946993
2021-12,114,Minimum Variance Classical,19393,0.07333956358668313
2021-12,114,Minimum Variance Classical,48725,0.06599467869127494
2021-12,114,Minimum Variance Classical,57665,0.06452429105496595
2021-12,114,Minimum Variance Classical,17478,0.06119986429584856
2021-12,114,Minimum Variance Classical,75186,0.06086554182460584
2021-12,114,Minimum Variance Classical,14008,0.06077631911987713
2021-12,114,Minimum Variance Classical,13901,0.058731935437286144
2021-12,114,Minimum Variance Classical,15579,0.05681763216049159
2021-12,114,Minimum Variance Classical,25785,0.05457995749393723
2021-12,114,Minimum Variance Classical,26403,0.048861581835312466
2021-12,114,Minimum Variance Classical,88352,0.04579323426312969
2021-12,114,Minimum Variance Classical,12308,0.044884189061646845
2021-12,114,Minimum Variance Classical,12369,0.0332574978436811
2021-12,114,Minimum Variance Classical,77702,0.030250394394999585
2021-12,114,Minimum Variance Classical,66093,0.026846029987696834
2021-12,114,Minimum Variance Classical,21178,0.026406577476629618
2021-12,114,Minimum Variance Classical,90215,0.024384696250031278
2021-12,114,Minimum Variance Classical,18542,0.020095417836530925
2021-12,114,Minimum Variance Classical,53613,0.01811640229182297
2021-12,114,Minimum Variance Classical,86783,0.01724273999041384
2021-12,114,Minimum Variance Classical,12060,0.001010766120236836
2021-12,114,Minimum Variance Classical,93436,-0.0018668454481328954
2021-12,114,Minimum Variance Classical,89393,-0.003038380656311708
2021-12,114,Minimum Variance Classical,13407,-0.005631430266780445
2021-12,114,Minimum Variance Classical,61399,-0.005734951283294881
2021-12,114,Minimum Variance Classical,61241,-0.016427469811717322
2021-12,114,Minimum Variance Classical,22111,-0.018394436789351685
2021-12,114,Minimum Variance Classical,75510,-0.02151962680052468
2021-12,114,Minimum Variance Classical,27959,-0.023273065368258256
2021-12,114,Minimum Variance Classical,62092,-0.02460284380265654
2021-12,114,Minimum Variance Classical,59328,-0.025716524736406007
2021-12,114,Minimum Variance Classical,90993,-0.02673108709692238
2021-12,114,Minimum Variance Classical,49154,-0.031281596854946005
2021-12,114,Minimum Variance Classical,10145,-0.03357337865146007
2021-12,114,Minimum Variance Classical,91937,-0.03447489925094189
2021-12,114,Minimum Variance Classical,12490,-0.04287323085319162
2021-12,114,Minimum Variance Classical,13928,-0.049475801838443946
2021-12,114,Minimum Variance Classical,11308,-0.06513948184633624
2021-12,114,Minimum Variance Classical,44644,-0.0698602824268049
2021-12,114,Minimum Variance Classical,62148,-0.07224036287226937
2021-12,114,Minimum Variance Classical,84788,-0.08322777030250046
2021-12,114,Minimum Variance Classical,20482,-0.08844229693756615
2021-12,114,Minimum Variance Classical,82642,-0.09014563283321853
2021-12,114,Minimum Variance Classical,21936,-0.09470191107429822
2021-12,114,Minimum Variance Classical,17005,-0.0956654554172651
2021-12,114,Minimum Variance Classical,11850,-0.10098671556412218
2021-12,114,Minimum Variance Classical,19561,-0.10198866854299672
2021-12,114,Minimum Variance Classical,18163,-0.1136338998959914
2021-12,114,Minimum Variance Classical,10107,-0.11871693731076671
2021-12,114,Minimum Variance Classical,66181,-0.11966648339511783
2021-12,114,Minimum Variance Classical,59176,-0.12727303454432934
2021-12,114,Minimum Variance Classical,22752,-0.128274617338423
2021-12,114,Minimum Variance Classical,38703,-0.13612926452983118
2021-12,114,Minimum Variance Classical,78975,-0.1393022791937692
2021-12,114,Minimum Variance Classical,87267,-0.14596008752536557
2021-12,114,Minimum Variance Classical,77178,-0.14598511020124272
2021-12,114,Minimum Variance Classical,87055,-0.16470409675547767
2021-12,114,Minimum Variance Classical,60442,-0.16614766157153332
2021-12,114,Minimum Variance Classical,14702,-0.18321387291611613
2021-12,114,Minimum Variance Classical,92655,-0.184593732376183
2021-12,114,Minimum Variance Classical,92602,-0.1863973895555266
2021-12,114,Minimum Variance Classical,36468,-0.19500386503673783
2021-12,114,Minimum Variance Classical,73139,-0.21070048000281344
2021-12,114,Minimum Variance Classical,70519,-0.21745425391818116
2021-12,114,Minimum Variance Classical,86868,-0.28840112023029024
2021-12,114,Minimum Variance Classical,91233,-0.29362537360974206
2021-12,114,Minimum Variance Classical,89525,-0.297437947225676
2021-12,114,Minimum Variance Classical,71563,-0.3099993998366073
2021-12,114,Minimum Variance Classical,22592,-0.3409531690902728
2021-12,114,Minimum Variance Classical,17778,-0.5195880881986014
2021-12,114,Minimum Variance Long Only,24205,0.16888039552405065
